NOMBRE,REGION,PROVINCIA,CODIGO,INSTITUCION,DISTRITO,DIRECCIÓN,latitude,longitude
CLINICA MONTEFIORI,LIMA,LIMA,9153,PRIVADO,LA MOLINA,AV. SEPARADORA INDUSTRIAL N 1818-1820 (ANTES 380-390) MZ. A1. LT 17-24 URB. CACTUS LIMA LIMA,-12.0654591,-76.9659877
CLINICA MONTE SINAI JULIACA E.I.R.L.,PUNO,SAN ROMAN,11978,PRIVADO,JULIACA,JIRON LORETO 343 CERCADO JULIACA SAN ROMAN PUNO,-15.497625699999999,-70.13270109999999
CLINICA JAVIER PRADO,LIMA,LIMA,12633,PRIVADO,SAN ISIDRO,AV. JAVIER PRADO ESTE 499 URB. JARDIN LIMA- SAN ISIDRO LIMA LIMA,-12.091465,-77.0283571
Clínica Internacional - Sede Lima,LIMA,LIMA,15610,PRIVADO,LIMA,JR. WASHINGTON 1471 LIMA LIMA,-12.0592585,-77.03896449999998
CLINICA SAN JUAN DE DIOS,AREQUIPA,AREQUIPA,15730,PRIVADO,CAYMA,AV. EJERCITO 1020 AREQUIPA AREQUIPA,-16.3880782,-71.54990809999998
CLINICA DEL INCA,LIMA,LIMA,8956,PRIVADO,MIRAFLORES,AVENIDA 28 DE JULIO  1331 AVENIDA 28 DE JULIO  1331 MIRAFLORES LIMA LIMA  LIMA LIMA,-12.1302732,-77.0193227
SISTEMAS DE ADMINISTRACION HOSPITALARIA S.A.C. (SANNA - CLINICA DEL SUR),AREQUIPA,AREQUIPA,12907,PRIVADO,YANAHUARA,AVENIDA BOLOGNESI 134 - YANAHUARA AREQUIPA AREQUIPA,-16.380048300000002,-71.5449464
CLINICA CAYETANO HEREDIA,JUNIN,HUANCAYO,8024,PRIVADO,EL TAMBO,AVENIDA AV.HUANCAVELICA NRO.745 JUNIN-HUANCAYO-EL TAMBO DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN  HUANCAYO JUNIN,-12.0632194,-75.2193272
CLINICA RICARDO PALMA,LIMA,LIMA,9409,PRIVADO,SAN ISIDRO,AV. JAVIER PRADO ESTE 1066 LIMA LIMA,-12.0905573,-77.01832950000001
CLINICA SAN BORJA,LIMA,LIMA,9886,PRIVADO,SAN BORJA,AVENIDA AV. GUARDIA CIVIL N° 337 AV. GUARDIA CIVIL N° 337 SAN BORJA LIMA LIMA  LIMA LIMA,-12.0920538,-77.00831540000001
CARLOS ALBERTO CORTEZ JIMENEZ,TUMBES,TUMBES,12272,ESSALUD,TUMBES,PROLONG. AV. TUMBES N 1625 TUMBES TUMBES,-3.5560202000000003,-80.44342320000001
CLINICA CAMINO REAL,LA LIBERTAD,TRUJILLO,16830,PRIVADO,TRUJILLO,JIRÓN JR. BOLOGNESI N° 565 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.1140746,-79.0287709
CLINICA SANTA ISABEL,LIMA,LIMA,13383,PRIVADO,SAN BORJA,AVENIDA GUARDIA CIVIL 135 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.089417,-77.00710059999999
HOSPITAL NAVAL,CALLAO,CALLAO,8266,FFAA Y PNP,BELLAVISTA,AV. VENEZUELA SN CALLAO CALLAO,-12.062421800000001,-77.0978016
CLINICA SAN JUAN BAUTISTA,LIMA,LIMA,8271,PRIVADO,SAN JUAN DE LURIGANCHO,AV. PROCERES DE LA INDEPENDENCIA 1764 MZ. G OOTES 10-11-20-21 - URB. LAS FLORES LIMA LIMA,-12.0040406,-77.00668780000001
CLINICA SANTA MARTHA DEL SUR,LIMA,LIMA,18985,PRIVADO,SAN JUAN DE MIRAFLORES,AV. BELISARIO SUAREZ 998 LIMA LIMA,-12.1630853,-76.96525120000003
HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA,LIMA,23159,MINSA,VILLA EL SALVADOR,AVENIDA PASTOR SEVILLA NÚMERO 000 DISTRITO VILLA EL SALVADOR PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.2157537,-76.94683719999998
CLINICA VALLESUR,AREQUIPA,AREQUIPA,16744,PRIVADO,AREQUIPA,AV. LA SALLE N°116 Y N° 108 CERCADO AREQUIPA AREQUIPA AREQUIPA,-16.4012027,-71.5253735
CLÍNICA MONTE HOREB S.A.,UCAYALI,CORONEL PORTILLO,12118,PRIVADO,CALLERIA,JR.INMACULADA N 529 CORONEL PORTILLO UCAYALI,-8.379348299999998,-74.53101749999998
CLINICA MONTESUR,LIMA,LIMA,12219,PRIVADO,SANTIAGO DE SURCO,AVENIDA AV. EL POLO NRO. 505 URB. EL DERBY MONTERRICO DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.103394300000001,-76.9727977
REGIONAL DE ENFERMEDADES NEOPLASICAS - NORTE - DR. LUIS PINILLOS GANOZA,LA LIBERTAD,TRUJILLO,7277,GOB REGIONAL,TRUJILLO,CARRETERA CARRETERA PANAMERICANA NORTE KM 558 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.134261,-79.01965290000001
SANNA - CLINICA BELEN,PIURA,PIURA,18310,PRIVADO,PIURA,CALLE SAN CRISTOBAL N 267 URB. EL CHIPE PIURA PIURA,-5.185173900000001,-80.63023890000001
CLINICA SAN PABLO,LIMA,LIMA,9988,PRIVADO,SANTIAGO DE SURCO,CALLE CALLE LA CONQUISTA 145-URB. EL DERBY DE MONTERRICO DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.100186599999999,-76.9714626
CLINICA SAN PABLO SEDE HUARAZ,ANCASH,HUARAZ,12671,PRIVADO,INDEPENDENCIA,JIRÓN JR. HUAYLAS N 172 DISTRITO INDEPENDENCIA PROVINCIA HUARAZ DEPARTAMENTO ANCASH  HUARAZ ANCASH,-9.517814300000001,-77.53081499999998
HOSPITAL DE ALTA COMPLEJIDAD DE LA LIBERTAD VIRGEN DE LA PUERTA,LA LIBERTAD,TRUJILLO,20925,ESSALUD,LA ESPERANZA,AV. N° 05 Y N° 02 URB PARQUE INDUSTRIAL TRUJILLO LA LIBERTAD,-8.051042299999999,-79.0585887
CLINICA SAN LORENZO S.R.L.,CAJAMARCA,CAJAMARCA,12761,PRIVADO,CAJAMARCA,AV. SAN MARTIN DE PORRES N° 546 CAJAMARCA CAJAMARCA,-7.1668027,-78.5052506
CLINICA AMERICANA DE JULIACA,PUNO,SAN ROMAN,10815,PRIVADO,JULIACA,JR. LORETO N 315 URB LA RINCONADA SAN ROMAN PUNO,-15.4976973,-70.1324463
CLÍNICA FÁTIMA,LA LIBERTAD,TRUJILLO,26935,PRIVADO,,CLÍNICA FÁTIMA TRUJILLO LA LIBERTAD,-8.1291008,-79.03844659999999
CLINICA SAN FRANCISCO DE ASIS S.A. (CLINICA SAN FRANCISCO DE ASIS),CAJAMARCA,CAJAMARCA,9599,PRIVADO,CAJAMARCA,JR. MIGUEL GRAU N 851 CAJAMARCA CAJAMARCA,-7.1579599,-78.5098186
CL ESPECIALIDADES MEDICAS,LIMA,LIMA,12975,PRIVADO,SAN BORJA,JR EDUARDO ORDOEZ 468 LIMA LIMA,-12.105580400000001,-77.00179969999998
CLINICA GOOD HOPE,LIMA,LIMA,8746,PRIVADO,MIRAFLORES,AVENIDA AV. MALECON BALTA N° 956 934 944 Y AV. GRAU N° 755 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.1256695,-77.03444569999998
HOSPITAL III IQUITOS,LORETO,MAYNAS,11409,ESSALUD,PUNCHANA,AVENIDA LA MARINA SN MAYNAS LORETO,-3.722424199999999,-73.2414624
CENTRO DE REPOSO SAN JUAN DE DIOS,PIURA,PIURA,13165,PRIVADO,CASTILLA,AVENIDA AVENIDA CAYETANO HEREDIA N° 210 DISTRITO CASTILLA PROVINCIA PIURA DEPARTAMENTO PIURA  PIURA PIURA,-5.1967099999999995,-80.6205954
CLINICA MARIA DEL SOCORRO,LIMA,LIMA,18584,PRIVADO,ATE,CALLE MZ J LOTE 3-A CALLE APURIMAC 116 URB. TILDA MZ J LOTE 3-A CALLE APURIMAC 116 URB. TILDA ATE LIMA LIMA  LIMA LIMA,-12.032017399999999,-76.93557140000001
ONCOSALUD,LIMA,LIMA,17634,PRIVADO,SAN BORJA,AVENIDA AV. GUARDIA CIVIL N°227-229 URB. CORPAC DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.0954579,-77.01016729999998
HOSPITAL SUBREGIONAL DE ANDAHUAYLAS,APURIMAC,ANDAHUAYLAS,4131,GOB REGIONAL,ANDAHUAYLAS,JIRÓN HUGO PESCE N° 180 JR. HUGO PESCE N° 180 ANDAHUAYLAS ANDAHUAYLAS APURIMAC  ANDAHUAYLAS APURIMAC,-13.657906299999999,-73.381736
CLINICA JESUS DEL NORTE,LIMA,LIMA,10182,PRIVADO,INDEPENDENCIA,AVENIDA AVENIDA CARLOS IZAGUIRRE 153 DISTRITO INDEPENDENCIA PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-11.9894316,-77.05878779999998
SANNA/SANCHEZ FERRER S.A.,LA LIBERTAD,TRUJILLO,10581,PRIVADO,VICTOR LARCO HERRERA,CALLE LOS LAURELES N436 URB. CALIFORNIA - VICTOR LARCO HERRERA - TRUJILLO - LA LIBERTAD TRUJILLO LA LIBERTAD,-8.1309086,-79.04017329999998
CLINICA SAN PABLO TRUJILLO,LA LIBERTAD,TRUJILLO,18404,PRIVADO,TRUJILLO,AVENIDA AV. HUSARES DE JUNIN 690 ESQ CON STA. TERESA DE JESUS - URB. LA MERCED DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD  TRUJILLO LA LIBERTAD,-8.1221569,-79.0341902
GRUPO CARITA FELIZ S.A.,PIURA,PIURA,25208,PRIVADO,,GRUPO CARITA FELIZ S.A. PIURA PIURA,-5.1959525,-80.6322146
CLINICA PUNO,PUNO,PUNO,9685,PRIVADO,PUNO,JR RAMON CASTILLA 178 URB SAN VICENTE DE PAUL PUNO PUNO,-15.841466199999997,-70.022757
