,region,total
0,AMAZONAS,472993
1,ANCASH,1246249
2,APURIMAC,460316
3,AREQUIPA,1556246
4,AYACUCHO,690053
5,CAJAMARCA,1603521
6,CALLAO,1147951
7,CUSCO,1460963
8,HUANCAVELICA,435152
9,HUANUCO,865820
10,ICA,938259
11,JUNIN,1408222
12,LA LIBERTAD,2054619
13,LAMBAYEQUE,1393148
14,LIMA METROPOLITANA,10204814
15,LIMA REGION,1056253
16,LORETO,1154766
17,MADRE DE DIOS,177571
18,MOQUEGUA,197622
19,PASCO,294380
20,PIURA,2069446
21,PUNO,1279290
22,SAN MARTIN,965432
23,TACNA,379400
24,TUMBES,248097
25,UCAYALI,632861
