region,age0_19,age20_29,age30_49,age50_69,age70_79,age80_m,total
AMAZONAS,196376,76289,115820,62889,13876,7743,472993
ANCASH,425057,202856,333923,201828,53307,29278,1246249
APURIMAC,169232,78397,115095,67839,18738,11015,460316
AREQUIPA,488351,257098,463239,257983,58346,31229,1556246
AYACUCHO,259974,118941,173202,96211,25911,15814,690053
CAJAMARCA,594391,264554,420992,232063,57319,34202,1603521
CALLAO,380491,186238,330328,189755,41338,19801,1147951
CUSCO,522222,259516,392073,215893,47472,23787,1460963
HUANCAVELICA,164649,77144,103337,64099,16903,9020,435152
HUANUCO,331660,151722,218362,122709,27977,13390,865820
ICA,332456,151012,258688,146439,32751,16913,938259
JUNIN,505627,239333,374648,214128,49812,24674,1408222
LA LIBERTAD,733282,344716,547129,316068,74750,38674,2054619
LAMBAYEQUE,489855,230252,368632,226869,50605,26935,1393148
LIMA METROPOLITANA,3144433,1699492,3055289,1727893,383623,194084,10204814
LIMA REGION,349054,169872,294793,176440,42506,23588,1056253
LORETO,526010,177062,265243,144660,29215,12576,1154766
MADRE DE DIOS,69136,29543,52401,22855,2697,939,177571
MOQUEGUA,58249,30748,61446,35381,7921,3877,197622
PASCO,107878,50418,80685,42726,8686,3987,294380
PIURA,786298,331858,533289,315023,67137,35841,2069446
PUNO,430052,222346,350380,199805,51139,25568,1279290
SAN MARTIN,380185,157796,252414,137424,25940,11673,965432
TACNA,116999,64438,119912,61519,11697,4835,379400
TUMBES,92784,38041,68429,38460,6913,3470,248097
UCAYALI,274780,101955,155630,81111,13956,5429,632861
