region,edad,m,f,count
AMAZONAS,a0-04,24506,23955,48461
AMAZONAS,a05-11,36692,35766,72458
AMAZONAS,a12-17,29637,28472,58109
AMAZONAS,a18-29,47775,45862,93637
AMAZONAS,a30-39,32600,30585,63185
AMAZONAS,a40-49,27705,24930,52635
AMAZONAS,a50-59,20390,17959,38349
AMAZONAS,a60-69,13034,11506,24540
AMAZONAS,a70-79,7171,6705,13876
AMAZONAS,a80-m,3665,4078,7743
ANCASH,a0-04,54314,51799,106113
ANCASH,a05-11,77706,75152,152858
ANCASH,a12-17,64871,62430,127301
ANCASH,a18-29,121953,119688,241641
ANCASH,a30-39,89998,88965,178963
ANCASH,a40-49,77812,77148,154960
ANCASH,a50-59,60039,60890,120929
ANCASH,a60-69,38979,41920,80899
ANCASH,a70-79,25144,28163,53307
ANCASH,a80-m,12581,16697,29278
APURIMAC,a0-04,22009,20943,42952
APURIMAC,a05-11,28539,28098,56637
APURIMAC,a12-17,27415,26446,53861
APURIMAC,a18-29,47273,46906,94179
APURIMAC,a30-39,31324,31468,62792
APURIMAC,a40-49,26283,26020,52303
APURIMAC,a50-59,20815,20247,41062
APURIMAC,a60-69,12957,13820,26777
APURIMAC,a70-79,8454,10284,18738
APURIMAC,a80-m,4181,6834,11015
AREQUIPA,a0-04,67070,63975,131045
AREQUIPA,a05-11,90195,86105,176300
AREQUIPA,a12-17,69536,66861,136397
AREQUIPA,a18-29,154246,147461,301707
AREQUIPA,a30-39,128224,123822,252046
AREQUIPA,a40-49,105957,105236,211193
AREQUIPA,a50-59,75859,78791,154650
AREQUIPA,a60-69,50066,53267,103333
AREQUIPA,a70-79,28350,29996,58346
AREQUIPA,a80-m,13968,17261,31229
AYACUCHO,a0-04,33065,31442,64507
AYACUCHO,a05-11,45051,43384,88435
AYACUCHO,a12-17,41389,39903,81292
AYACUCHO,a18-29,72675,72006,144681
AYACUCHO,a30-39,47550,47686,95236
AYACUCHO,a40-49,38705,39261,77966
AYACUCHO,a50-59,28530,29705,58235
AYACUCHO,a60-69,17749,20227,37976
AYACUCHO,a70-79,11483,14428,25911
AYACUCHO,a80-m,6041,9773,15814
CAJAMARCA,a0-04,74074,71635,145709
