IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,NOM_CAPITAL (LEGAL)
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION
010103,AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS
010104,AMAZONAS,CHACHAPOYAS,CHETO,CHETO
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA
010107,AMAZONAS,CHACHAPOYAS,GRANADA,GRANADA
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,HUANCAS
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,LA JALCA
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,LEIMEBAMBA
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,LEVANTO
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MAGDALENA
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,DURAZNOPAMPA
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOLINOPAMPA
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MONTEVIDEO
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,OLLEROS
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,QUINJALCA
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,DAGUAS
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MAINO
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,SOLOCO
010121,AMAZONAS,CHACHAPOYAS,SONCHE,SAN JUAN DE SONCHE
010201,AMAZONAS,BAGUA,BAGUA,BAGUA
010202,AMAZONAS,BAGUA,ARAMANGO,ARAMANGO
010203,AMAZONAS,BAGUA,COPALLIN,COPALLIN
010204,AMAZONAS,BAGUA,EL PARCO,EL PARCO
010205,AMAZONAS,BAGUA,IMAZA,CHIRIACO
010206,AMAZONAS,BAGUA,LA PECA,LA PECA
010301,AMAZONAS,BONGARA,JUMBILLA,JUMBILLA
010302,AMAZONAS,BONGARA,CHISQUILLA,CHISQUILLA
010303,AMAZONAS,BONGARA,CHURUJA,CHURUJA
010304,AMAZONAS,BONGARA,COROSHA,COROSHA
010305,AMAZONAS,BONGARA,CUISPES,CUISPES
010306,AMAZONAS,BONGARA,FLORIDA,FLORIDA (POMACOCHAS)
010307,AMAZONAS,BONGARA,JAZAN,PEDRO RUIZ GALLO
010308,AMAZONAS,BONGARA,RECTA,RECTA
010309,AMAZONAS,BONGARA,SAN CARLOS,SAN CARLOS
010310,AMAZONAS,BONGARA,SHIPASBAMBA,SHIPASBAMBA
010311,AMAZONAS,BONGARA,VALERA,VALERA (SAN PABLO)
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,YAMBRASBAMBA
010401,AMAZONAS,CONDORCANQUI,NIEVA,SANTA MARIA DE NIEVA
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,HUAMPAMI
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,PUERTO GALILEA
010501,AMAZONAS,LUYA,LAMUD,LAMUD
010502,AMAZONAS,LUYA,CAMPORREDONDO,CAMPORREDONDO
010503,AMAZONAS,LUYA,COCABAMBA,COCABAMBA
010504,AMAZONAS,LUYA,COLCAMAR,COLCAMAR
010505,AMAZONAS,LUYA,CONILA,COHECHAN
010506,AMAZONAS,LUYA,INGUILPATA,INGUILPATA
010507,AMAZONAS,LUYA,LONGUITA,LONGUITA
010508,AMAZONAS,LUYA,LONYA CHICO,LONYA CHICO
010509,AMAZONAS,LUYA,LUYA,LUYA
010510,AMAZONAS,LUYA,LUYA VIEJO,LUYA VIEJO
010511,AMAZONAS,LUYA,MARIA,MARIA
010512,AMAZONAS,LUYA,OCALLI,OCALLI
010513,AMAZONAS,LUYA,OCUMAL,COLLONCE
010514,AMAZONAS,LUYA,PISUQUIA,YOMBLON
010515,AMAZONAS,LUYA,PROVIDENCIA,PROVIDENCIA
010516,AMAZONAS,LUYA,SAN CRISTOBAL,OLTO
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,SAN FRANCISCO DEL YESO
010518,AMAZONAS,LUYA,SAN JERONIMO,PACLAS
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,SAN JUAN DE LOPECANCHA
010520,AMAZONAS,LUYA,SANTA CATALINA,SANTA CATALINA
010521,AMAZONAS,LUYA,SANTO TOMAS,SANTO TOMAS
010522,AMAZONAS,LUYA,TINGO,TINGO
010523,AMAZONAS,LUYA,TRITA,TRITA
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,MENDOZA
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,CHIRIMOTO
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,COCHAMAL
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,HUAMBO
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,LIMABAMBA
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,LONGAR
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,MARISCAL BENAVIDES
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,MILPUC
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,OMIA
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,SANTA ROSA DE HUAYABAMBA
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,TOTORA
