IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,NOM_CAPITAL (LEGAL),location,location_val
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS,"{'lat': -6.230154700000001, 'lng': -77.87084779999999}",True
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,"{'lat': -6.000000000000001, 'lng': -77.66666699999999}",True
10103,AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS,"{'lat': -6.8450815, 'lng': -78.0291706}",True
10104,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,"{'lat': -6.3130691, 'lng': -77.665066}",True
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN,"{'lat': -6.0619979, 'lng': -77.6880293}",True
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,"{'lat': -6.9350216, 'lng': -77.8545943}",True
10107,AMAZONAS,CHACHAPOYAS,GRANADA,GRANADA,"{'lat': -6.1047816, 'lng': -77.6279095}",True
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,HUANCAS,"{'lat': -6.1739749, 'lng': -77.864598}",True
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,LA JALCA,"{'lat': -6.484126799999999, 'lng': -77.815001}",True
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,LEIMEBAMBA,"{'lat': -6.707574399999999, 'lng': -77.8035929}",True
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,LEVANTO,"{'lat': -6.308831400000001, 'lng': -77.8988897}",True
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MAGDALENA,"{'lat': -6.3740538, 'lng': -77.9003183}",True
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,DURAZNOPAMPA,"{'lat': -6.5766068, 'lng': -77.76809519999999}",True
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOLINOPAMPA,"{'lat': -6.2084193, 'lng': -77.668645}",True
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MONTEVIDEO,"{'lat': -6.6275301, 'lng': -77.7108686}",True
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,OLLEROS,"{'lat': -6.0013544, 'lng': -77.665066}",True
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,QUINJALCA,"{'lat': -6.1056091, 'lng': -77.6879696}",True
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,DAGUAS,"{'lat': -6.2314038, 'lng': -77.7337628}",True
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MAINO,"{'lat': -6.3585821, 'lng': -77.8252923}",True
